지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22103,2011.1.1 0:00,8.5,346,12.6,1016.5,66,0,10.1,2.4,1.4,0.7,9.1,103
22103,2011.1.1 1:00,9.1,337,12.4,1016.2,67,0,10.3,2.8,1.5,0.8,3.6,228
22103,2011.1.1 2:00,9.5,347,12,1015.9,68,0.2,10.3,2.2,1.5,0.8,7.1,148
22103,2011.1.1 3:00,8.1,352,10.8,1016.5,69,-0.3,10.4,2.7,1.5,0.7,5.8,142
22103,2011.1.1 4:00,8.7,331,12.9,1016.5,68,-0.4,10.4,2.4,1.5,0.7,9.1,140
22103,2011.1.1 5:00,9.1,337,11.5,1016.6,65,-0.2,10.3,2.3,1.4,0.7,9.1,346
22103,2011.1.1 6:00,10.4,334,13.3,1017,64,0.1,10.2,2,1.4,0.7,4,211
22103,2011.1.1 7:00,10.8,327,12.9,1017.5,66,0.1,10.5,2,1.4,0.7,9.1,318
22103,2011.1.1 8:00,9.7,334,13,1018,66,-0.1,10.5,2.3,1.5,0.7,4.6,125
22103,2011.1.1 9:00,11.3,341,13.9,1018.3,64,-0.3,10.5,2,1.4,0.7,4,228
22103,2011.1.1 10:00,11.9,344,14.8,1019,60,-0.4,11.2,2.1,1.4,0.7,4.6,200
22103,2011.1.1 11:00,12.7,353,15.6,1019.8,59,-0.1,11.3,2.4,1.6,0.8,4,242
22103,2011.1.1 12:00,12.4,331,16.4,1019.4,58,0.4,11.4,2.4,1.5,0.7,4.6,245
22103,2011.1.1 13:00,10.5,340,13.2,1019.3,59,0.6,11.5,2.5,1.6,0.8,4.6,235
22103,2011.1.1 14:00,10.7,341,13,1018.8,56,1.3,11.4,2.3,1.7,0.9,4.6,221
22103,2011.1.1 15:00,10.8,330,14.4,1019.1,53,1.8,11.2,2.2,1.5,0.8,4.6,232
22103,2011.1.1 16:00,10.8,324,13.8,1019.4,55,2.2,11.2,2.3,1.5,0.8,4.6,239
22103,2011.1.1 17:00,10.1,243,12.9,1019.9,54,2.7,11.2,2.4,1.5,0.8,4.3,227
22103,2011.1.1 18:00,11.3,348,13.9,1020.1,49,3.1,11.4,2.5,1.6,0.8,4.9,214
22103,2011.1.1 19:00,11.5,345,13.9,1021.4,46,3.1,11.7,2.4,1.7,0.8,4.9,212
22103,2011.1.1 20:00,10.2,337,13,1022.2,50,3.2,11.9,2.3,1.6,0.8,4.9,217
22103,2011.1.1 21:00,8.9,341,11.1,1022.9,49,3.3,11.8,2.1,1.6,0.8,4.3,212
22103,2011.1.1 22:00,7.8,349,10,1023.7,49,3.5,11.7,1.9,1.3,0.6,4.3,202
22103,2011.1.1 23:00,8,9,10.1,1024.3,47,3.5,11.5,2.4,1.2,0.6,4.3,227
22103,2011.1.2 0:00,8.9,335,11,1024,53,3.2,11.5,1.9,1.3,0.6,3.8,246
22103,2011.1.2 1:00,9.4,347,11.4,1023.8,58,2.6,11.6,1.7,1.3,0.7,9.1,324
22103,2011.1.2 2:00,8.4,344,10.2,1024,56,2.8,11.7,2.3,1.4,0.7,3.8,230
22103,2011.1.2 3:00,6.7,343,8.8,1024.9,54,2.8,11.7,2.2,1.4,0.7,9.1,317
22103,2011.1.2 4:00,6.4,344,8.6,1025.4,52,2.7,11.6,2.4,1.4,0.7,8,313
22103,2011.1.2 5:00,5.5,342,7.6,1025.6,49,2.4,11.4,2.1,1.4,0.7,9.1,284
22103,2011.1.2 6:00,6,351,8.2,1025.6,49,2.6,11.3,2.2,1.3,0.7,10.7,192
22103,2011.1.2 7:00,5.8,332,8.1,1025.7,57,2.6,11.5,2,1.4,0.7,9.1,214
22103,2011.1.2 8:00,5.6,346,7.4,1026,50,2.7,11.3,2,1.1,0.5,9.1,219
22103,2011.1.2 9:00,6.4,330,8,1026.1,52,2.9,11.5,2.1,1.3,0.6,8,222
22103,2011.1.2 10:00,5.5,342,7.2,1026.6,54,3,12.3,1.9,1.3,0.7,9.1,211
22103,2011.1.2 11:00,6.3,328,7.9,1026.9,54,2.9,12.5,1.9,1.2,0.6,8,300
22103,2011.1.2 12:00,7,355,9.4,1026.3,55,3.1,12.7,2.1,1.4,0.7,10.7,340
22103,2011.1.2 13:00,6.2,339,7.9,1025.4,53,3.4,12.7,1.7,1.2,0.6,9.1,349
22103,2011.1.2 14:00,6.2,326,13.6,1024.7,46,3.7,12.6,2,1.2,0.6,12.8,348
22103,2011.1.2 15:00,6.5,319,8.4,1024,45,3.6,12.2,1.7,1,0.5,10.7,353
22103,2011.1.2 16:00,6.2,324,8.1,1023.8,44,3.7,11.9,1.4,1.1,0.6,10.7,356
22103,2011.1.2 17:00,7.3,320,9.3,1023.5,44,3.9,11.7,1.9,1,0.5,10.7,343
22103,2011.1.2 18:00,7.7,336,9.5,,45,3.6,11.5,1.8,1,0.5,10.7,342
22103,2011.1.2 19:00,7.5,324,9.9,1023.6,49,3.6,11.7,1.7,1,0.5,10.7,356
22103,2011.1.2 20:00,8.4,327,11.3,1023.2,54,3.2,11.8,1.7,1.2,0.6,3.8,243
22103,2011.1.2 21:00,8.9,328,11.3,1023.2,58,2.7,11.9,2.1,1.4,0.7,10.7,2
22103,2011.1.2 22:00,8.7,342,11.7,1023,61,2.4,11.8,2.4,1.3,0.7,4.3,230
22103,2011.1.2 23:00,9.6,320,12.4,1022.8,65,2.3,11.7,2.4,1.4,0.7,4.3,225
22103,2011.1.3 0:00,11.6,336,14.3,1022.8,57,2.3,11.7,2.1,1.3,0.7,4.3,235
22103,2011.1.3 1:00,10.5,337,13.1,1022.4,56,2.3,11.7,1.9,1.5,0.7,4.3,220
22103,2011.1.3 2:00,10.6,342,13.1,1022.1,56,2,11.7,2,1.3,0.6,4.3,236
22103,2011.1.3 3:00,12.1,337,14.9,1022,59,2,11.4,1.7,1.3,0.6,4.3,239
22103,2011.1.3 4:00,10.6,359,13.5,1022.1,55,1.7,11.1,2,1.3,0.7,4,247
22103,2011.1.3 5:00,9.7,327,12.9,1021.9,59,1.4,10.9,1.7,1.4,0.7,4.3,241
22103,2011.1.3 6:00,8.8,329,11,1021.8,60,1.2,11,2.1,1.4,0.7,4,228
22103,2011.1.3 7:00,9,3,12.7,1021.8,62,1.1,11.3,1.8,1.3,0.6,4.6,135
22103,2011.1.3 8:00,7.7,323,10.5,1022.3,60,0.9,11.5,1.9,1.2,0.6,4.6,155
22103,2011.1.3 9:00,8.4,324,11.9,1022.5,59,0.8,11.1,1.9,1.3,0.7,4.3,151
22103,2011.1.3 10:00,7.4,330,10.5,1022.3,57,0.7,11,1.5,1,0.5,4,150
22103,2011.1.3 11:00,7.3,354,10.4,1021.9,56,0.6,11.3,2,1,0.5,4.3,207
22103,2011.1.3 12:00,6.7,338,9,1021.8,53,0.9,11.5,1.5,1,0.5,4,238
22103,2011.1.3 13:00,7.8,321,10.5,1020.9,55,1.4,11.7,1.5,1,0.5,3.8,241
22103,2011.1.3 14:00,8.3,324,10.5,1020.2,48,1.8,11.7,1.2,0.9,0.4,3.6,248
22103,2011.1.3 15:00,9.5,309,12.2,1019.8,50,2.4,11.2,1.3,1,0.5,3.6,233
22103,2011.1.3 16:00,9.1,320,11.8,1019.1,43,2.7,11.2,1.5,1,0.5,3.6,235
22103,2011.1.3 17:00,9.3,308,11,1019,41,3.1,11.2,1.7,0.9,0.5,3.4,254
22103,2011.1.3 18:00,10.3,308,13.6,1019.2,39,3.2,11.5,1.7,1.2,0.6,3.8,270
22103,2011.1.3 19:00,10.2,319,12.4,1019.6,42,3.1,11.4,1.5,1.2,0.6,4.3,250
22103,2011.1.3 20:00,11.6,319,14.7,1019.4,46,2.8,11.4,1.8,1.2,0.6,4.6,239
22103,2011.1.3 21:00,9.8,342,12.7,1019.5,49,2.7,11.4,1.7,1.3,0.6,4.6,216
22103,2011.1.3 22:00,10.4,319,13.3,1019.8,53,2.3,11.4,2.1,1.4,0.7,4.6,226
22103,2011.1.3 23:00,10.8,321,13.2,1020.4,57,2.2,11.4,1.9,1.4,0.7,4.3,235
22103,2011.1.4 0:00,11,330,14.3,1020.3,59,2.2,11.4,2.1,1.3,0.7,4.6,220
22103,2011.1.4 1:00,10.7,328,13.3,1020.2,62,1.9,11.2,2.1,1.2,0.6,4.3,236
22103,2011.1.4 2:00,11.9,324,14.6,1019.5,61,2.1,11,2.1,1.3,0.7,4.3,221
22103,2011.1.4 3:00,12,327,14.5,1020.3,61,2,10.3,2.4,1.5,0.7,4.6,215
22103,2011.1.4 4:00,11.6,334,14.4,1020.4,58,1.9,10.3,2.1,1.3,0.7,3.8,238
22103,2011.1.4 5:00,10.9,339,13.8,1020.5,59,2.4,10.3,2.1,1.5,0.7,3.6,232
22103,2011.1.4 6:00,10.5,341,13.8,1021.1,59,2,10.3,2.1,1.4,0.7,4.6,223
22103,2011.1.4 7:00,10.1,350,13.3,1021.2,60,2.1,10.3,2,1.4,0.7,4.6,208
22103,2011.1.4 8:00,10.1,335,12.9,1021.7,62,2,10.9,2.2,1.4,0.7,4.6,122
22103,2011.1.4 9:00,10.1,325,13.1,1022,63,2.3,10.9,2.1,1.4,0.7,4.9,127
22103,2011.1.4 10:00,10.4,321,13.1,1022.2,63,2.3,11.2,2.4,1.5,0.7,4.6,130
22103,2011.1.4 11:00,10.6,314,13.8,1022.6,59,2.6,13.4,2.1,1.4,0.7,4.6,119
22103,2011.1.4 12:00,9.8,334,12.7,1022.2,59,2.9,13.6,2.3,1.4,0.7,4.3,132
22103,2011.1.4 13:00,10.3,315,13.6,1021.8,58,3.3,13.8,2,1.3,0.6,4.3,140
