지점,일시,풍속1(m/s),풍향1(deg),GUST풍속 1(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2012-01-01 00:00,5.5,305,7.7,1020.7,42,8.6,15.4,2.5,1.5,.7,4.3,203
21229,2012-01-01 01:00,5,293,7.1,1020.2,45,8.4,15.4,2.2,1.4,.7,4.9,216
21229,2012-01-01 02:00,7.7,310,10.7,1020,51,8.7,15.3,2,1.3,.7,4.6,154
21229,2012-01-01 03:00,6.6,296,9.7,1020.2,50,8.6,15.3,2.5,1.4,.7,4.9,139
21229,2012-01-01 04:00,6.6,303,8.8,1019.7,48,8.7,15.3,2.4,1.4,.7,5.3,153
21229,2012-01-01 05:00,6.5,325,9.4,1019.3,48,8.6,15.3,2.2,1.3,.7,4.6,155
21229,2012-01-01 06:00,6.8,304,9.1,1019.3,50,8.6,15.3,2.1,1.4,.7,4.9,129
21229,2012-01-01 07:00,7,323,9.8,1019.4,60,8.2,15.3,3,1.5,.7,4.6,95
21229,2012-01-01 08:00,7.8,343,10.9,1019.3,60,8.1,15.3,2.4,1.4,.7,4.6,96
21229,2012-01-01 09:00,8.6,318,12,1020.4,59,7.8,15.3,3.1,1.7,.8,4.9,82
21229,2012-01-01 10:00,5.1,322,10.5,1020.8,61,6.9,15.2,3,1.7,.8,4.9,105
21229,2012-01-01 11:00,7.3,325,9.8,1019.7,58,7.4,15.2,2.6,1.7,.9,4.3,69
21229,2012-01-01 12:00,6.5,316,8.9,1018.4,69,6.2,15.2,3,1.7,.8,4.6,124
21229,2012-01-01 13:00,5,311,7,1017.7,64,7,15.1,2.3,1.5,.8,4.3,81
21229,2012-01-01 14:00,7,316,8.7,1016.7,73,6.3,15.1,2.5,1.6,.8,4.3,124
21229,2012-01-01 15:00,6.1,320,7.7,1016.2,63,7,15.1,2.4,1.5,.8,4.3,141
21229,2012-01-01 16:00,6.6,301,8.9,1016.3,60,7.4,14.8,2.6,1.6,.8,4.3,147
21229,2012-01-01 17:00,6.9,298,9.3,1016.2,63,7,14.4,3.4,1.8,.9,3.8,104
21229,2012-01-01 18:00,9.4,315,12.5,1015.8,80,5.7,13.9,3.2,1.7,.9,3.6,280
21229,2012-01-01 19:00,11.8,299,14.7,1016.1,83,5.1,13.6,3.3,2,1,3.8,79
21229,2012-01-01 20:00,9.1,300,11.5,1015.2,75,5.9,13.5,3.4,2.1,1.1,3.8,60
21229,2012-01-01 21:00,7.4,301,11.1,1015.4,81,4.7,13.2,3.8,2.4,1.2,7.1,71
21229,2012-01-01 22:00,16.7,8,22.7,,90,5,12.9,5.8,3.8,1.9,3.8,26
21229,2012-01-01 23:00,17,36,22.9,1015.7,91,4.1,12.5,6.7,4.3,2.2,4.6,357
21229,2012-01-02 00:00,15.5,10,19.6,1017.5,87,3.9,12.6,7.8,4.7,2.4,4.3,14
21229,2012-01-02 03:00,13.3,10,17,1020.3,66,4.4,12.6,7.7,4.3,2.1,8,342
21229,2012-01-02 04:00,12.3,2,16.5,1021.3,64,4.2,12.6,7.5,4.1,2,4.6,17
21229,2012-01-02 05:00,11.8,357,16.4,1021.6,64,3.9,12.5,6.8,3.6,1.8,4.3,15
21229,2012-01-02 06:00,11.7,88,17.6,1022.2,65,3.8,12.5,5.1,3.6,1.8,4.9,22
21229,2012-01-02 07:00,11.6,16,15.5,1022.6,68,3.7,12.5,6.1,3.5,1.7,4.6,357
21229,2012-01-02 08:00,10.2,34,13.5,1023,68,3.7,12.5,6.6,3.6,1.8,4.6,356
21229,2012-01-02 09:00,9.5,22,13.2,1023.6,69,3.4,12.8,5.2,3.2,1.6,4,39
21229,2012-01-02 10:00,9,20,12.7,1023.6,61,4,13.1,5.5,3.5,1.8,5.3,50
21229,2012-01-02 11:00,9.1,14,12.4,1023.2,61,3.9,13.4,6.4,3.6,1.8,9.1,72
21229,2012-01-02 12:00,8.9,4,12.3,1022.7,62,3.8,13.5,4.9,3.2,1.6,9.1,242
21229,2012-01-02 13:00,7.9,9,11.8,1022.9,63,3.8,13.4,4.8,2.7,1.3,4.9,16
21229,2012-01-02 14:00,8.2,12,11.2,1022.1,64,3.7,12.4,4.8,2.3,1.2,4.9,57
21229,2012-01-02 15:00,7.8,20,10.9,1022.9,64,3.5,12.3,4.3,2.4,1.2,5.3,13
21229,2012-01-02 16:00,7.7,24,11.1,1022.7,61,3.7,11.9,3.7,2.1,1,3.6,49
21229,2012-01-02 17:00,6.8,33,9.1,,61,3.7,12.2,3.9,2.2,1.1,4.9,329
21229,2012-01-02 18:00,6.7,29,9.1,1023.3,61,3.9,12.7,3.4,2.2,1.1,4.9,330
21229,2012-01-02 19:00,5.7,35,8.5,1022.9,61,4.1,12.5,3.6,2.1,1.1,4.9,345
21229,2012-01-02 20:00,5.8,47,7.9,1023.1,61,4.1,12.3,3.9,2.4,1.2,5.3,335
21229,2012-01-02 21:00,6.2,45,9.2,1022,61,4.2,12.2,3.8,2.3,1.1,9.1,354
21229,2012-01-02 22:00,6.7,50,8.8,1021.7,62,4.4,12.1,3.1,2.2,1.1,4.6,342
21229,2012-01-02 23:00,5.6,73,8,1021.7,61,4.5,12.3,3.2,2.2,1.1,9.1,334
21229,2012-01-03 00:00,5.9,76,8.4,1020.8,67,4.1,12.2,3.5,2.1,1.1,4.6,339
21229,2012-01-03 01:00,6.2,89,8.2,1020,70,4.2,12.5,3.3,2,1,4.6,313
21229,2012-01-03 02:00,4.9,94,7,1020,63,4.5,12.5,3,1.8,.9,4.6,337
21229,2012-01-03 03:00,4.7,73,6.8,1019.4,63,4.7,12.5,2.7,1.8,.9,3.8,314
21229,2012-01-03 04:00,4.6,72,6.6,1019,64,4.9,13.6,2.4,1.5,.8,4.3,278
21229,2012-01-03 05:00,2.6,82,5.2,1018.8,61,5.2,13.6,2.9,1.6,.8,4.6,351
21229,2012-01-03 06:00,2.8,60,4.7,1018.4,63,5.2,13.7,2.8,1.8,.9,4.3,23
21229,2012-01-03 07:00,3.3,86,6.4,1017.8,67,5,13.8,2.7,1.7,.8,4.3,349
21229,2012-01-03 08:00,4.4,88,6,1017.8,72,4.8,13.8,2.9,1.9,1,4.3,350
21229,2012-01-03 09:00,6,89,8,1018.1,71,5.4,13.8,2.6,1.7,.9,4.3,358
21229,2012-01-03 10:00,7.2,92,8.8,1017.7,72,5.9,13.8,3.2,1.8,.9,4.6,10
21229,2012-01-03 11:00,9.2,88,12,1016.9,81,5.7,13.8,2.6,1.7,.8,4.3,333
21229,2012-01-03 12:00,9,350,12.1,1016.6,89,3.3,13.8,3.1,1.9,.9,4.3,332
21229,2012-01-03 13:00,6.1,359,9.1,1015.9,90,4.2,14,3.3,1.9,.9,4.6,346
21229,2012-01-03 14:00,9.3,343,12.5,1015.1,83,5,14.1,2.6,1.7,.8,4.3,6
21229,2012-01-03 15:00,8.9,337,12.8,1014.2,75,5.5,14.1,2.7,1.8,.9,4.3,3
21229,2012-01-03 16:00,10,332,13.1,1014.3,64,5.8,14,3,2,1,4.6,162
21229,2012-01-03 17:00,10,318,12.9,1014.1,65,5.7,14,3,1.7,.8,4.9,352
21229,2012-01-03 18:00,9.6,322,14.5,1014.5,58,6.1,14,3.7,2,1,4.9,330
21229,2012-01-03 19:00,9.1,330,12.6,1014.3,50,6.5,14.1,3,2.2,1.1,4.3,17
21229,2012-01-03 20:00,9.5,326,14,1014.2,48,6.6,14.1,2.9,1.9,.9,4,44
21229,2012-01-03 21:00,6.9,324,9.8,1014.5,44,6.4,14.1,3.5,2,1,4.3,154
21229,2012-01-03 22:00,10,328,13.6,1013.8,70,5,14.1,3,2,1,4.9,14
21229,2012-01-03 23:00,7.9,316,11.4,1013.3,67,4.9,14.3,2.9,1.8,.9,8,56
21229,2012-01-04 00:00,5.4,296,9.1,1013.6,67,4.7,14.4,2.5,1.7,.9,4.3,165
21229,2012-01-04 02:00,11.1,332,15.3,1012.1,82,4.1,14.3,3,1.9,.9,3.8,187
21229,2012-01-04 03:00,12.4,328,14.8,1012.2,84,3.8,14.3,3.9,2.4,1.2,3,320
21229,2012-01-04 04:00,10.4,304,13.9,1012.5,91,2.1,14.2,3.3,2.1,1.1,4.3,76
21229,2012-01-04 05:00,13.5,325,17.8,1012.2,90,2.7,14.3,4.1,2.5,1.3,4.6,218
21229,2012-01-04 06:00,13.2,310,18.3,1012.3,90,3,14.3,4.1,2.9,1.5,3.2,284
21229,2012-01-04 07:00,14.9,330,19.9,1012.7,87,3.4,14.4,5.4,3,1.5,3.6,358
21229,2012-01-04 08:00,12,354,15.5,1013.8,91,2,14.4,4.5,2.9,1.5,3.6,322
21229,2012-01-04 09:00,12.3,4,16.9,1014.9,73,3.2,14.2,6,3.9,2,3.4,328
21229,2012-01-04 10:00,12.8,5,17.7,1015.5,59,3.8,14.1,5.6,3.6,1.8,4.3,6
21229,2012-01-04 11:00,13.8,22,17.5,1016.8,61,3.6,13.5,6.1,3.8,1.9,4,26
21229,2012-01-04 12:00,13,7,18.6,1016.6,66,3.5,13.1,6,3.8,1.9,4.6,7
21229,2012-01-04 13:00,13.1,357,18.4,1016.8,65,3.6,12.5,5.3,3.3,1.6,4,350
21229,2012-01-04 14:00,12.3,353,16.9,1016.8,67,3.5,12.9,6.2,3.6,1.8,4.6,19
21229,2012-01-04 15:00,12.8,346,16.5,,65,3.8,12.7,5.8,3.5,1.7,4.3,19
21229,2012-01-04 16:00,10.5,7,14.4,1017.7,68,3.5,12.5,5.2,3.2,1.6,4.9,5
21229,2012-01-04 17:00,12,1,15.6,1018.4,71,3.4,12.4,4.7,3,1.5,4.6,6
21229,2012-01-04 18:00,9.7,356,13.6,1018.7,67,3.8,12.7,5.5,3.1,1.5,4,348
21229,2012-01-04 19:00,8.3,306,11.6,1020.1,69,3.6,12.7,4.6,3.1,1.5,5.3,0
21229,2012-01-04 20:00,8.2,336,12,1019,69,3.9,12.6,5.1,2.8,1.4,5.3,347
21229,2012-01-04 21:00,8.9,320,12.5,1019.9,64,4.3,12.5,4.6,2.7,1.3,4.9,25
21229,2012-01-04 22:00,8.2,341,12.1,1020.5,64,4.3,12.4,4.3,2.8,1.4,4.9,359
21229,2012-01-04 23:00,8.8,337,12.5,1020.5,48,5.3,12.6,4.8,2.8,1.4,4.9,54
21229,2012-01-05 00:00,12.2,2,16,1020.2,80,3.9,12.9,4.2,2.9,1.5,4.9,354
21229,2012-01-05 01:00,7.7,321,12.6,1020.8,77,3.2,13.1,4.5,2.6,1.3,4.3,56
21229,2012-01-05 02:00,9,322,14.1,1021.5,87,2.6,13.1,4.3,2.5,1.2,4.9,14
21229,2012-01-05 03:00,10,311,12.8,1021,87,2.9,13.1,3.6,2.3,1.2,4.6,50
21229,2012-01-05 05:00,10.6,317,13.8,1021.2,47,5.4,13.9,3.2,2,1,4.3,159
21229,2012-01-05 06:00,7.5,326,10.5,1021.3,43,5.3,13.9,3.3,2,1,4.3,8
21229,2012-01-05 07:00,10,318,19.3,1022.1,83,3.7,13.9,3.8,2,1,2.8,36
21229,2012-01-05 08:00,9.1,10,11.2,1022.6,84,3.7,13.9,3.2,2.1,1.1,9.1,11
21229,2012-01-05 09:00,10.2,315,13.6,1023,58,5.7,13.8,3.6,2.1,1,5.3,198
21229,2012-01-05 10:00,10.7,299,13.6,1023.5,66,4.9,13.9,3.7,2.3,1.2,4.3,76
21229,2012-01-05 11:00,8.6,305,14.1,1024.1,73,4.1,13.9,3.9,2.4,1.2,4.6,332
21229,2012-01-05 12:00,7.3,313,10.2,1023.5,59,5.3,13.9,3.4,2.2,1.1,4.3,355
21229,2012-01-05 13:00,7.9,307,10.9,1023.2,54,5.8,13.9,3.4,2.1,1,4.6,34
21229,2012-01-05 14:00,6.8,336,10.2,1022.6,59,5.4,13.9,3.3,2.1,1,4.9,14
21229,2012-01-05 15:00,6.9,310,9.9,1022.2,52,5.8,14,3.5,2.1,1.1,4.6,89
21229,2012-01-05 16:00,5.3,330,8.2,1022.8,55,5.3,14,3.4,2.1,1,4.9,24
21229,2012-01-05 17:00,3.8,323,7.2,1022.8,53,5.7,13.9,3.5,2.1,1,4.3,41
21229,2012-01-05 18:00,5,289,7.8,1023.5,44,6,13.9,3.1,2,1,5.3,19
21229,2012-01-05 19:00,5,276,7.3,1023.7,42,6,13.9,3.1,1.7,.9,4.9,26
21229,2012-01-05 20:00,5.1,290,7.9,1023.9,44,6,13.9,3.2,1.8,.9,5.3,143
21229,2012-01-05 21:00,5.8,301,9.2,1024,43,5.8,13.9,3.1,2,1,9.1,63
21229,2012-01-05 22:00,5.5,293,7.9,1024.2,41,5.8,13.8,2.6,1.8,.9,4.6,89
21229,2012-01-05 23:00,4.5,289,7.6,1024.6,42,6,13.8,2.7,1.8,.9,4.3,121
21229,2012-01-06 00:00,4.9,279,8.4,1024.3,42,6.1,13.7,2.7,1.8,.9,4.9,60
21229,2012-01-06 01:00,4.6,294,7.3,1024.1,45,6.1,13.6,2.8,1.8,.9,4,23
21229,2012-01-06 02:00,4.9,297,7.1,1024.1,45,6.2,13.7,2.9,1.6,.8,4.6,36
21229,2012-01-06 03:00,7.7,304,11.5,1024.5,49,6.5,13.7,2.5,1.7,.8,9.1,102
21229,2012-01-06 04:00,7.3,311,10.1,1024.6,49,6.2,13.7,2.9,1.8,.9,9.1,105
21229,2012-01-06 05:00,8.3,323,11.5,1024.8,54,6,13.7,2.9,1.9,.9,4,17
21229,2012-01-06 06:00,9.4,316,12.1,1024.9,54,6.1,13.7,3.1,1.8,.9,4.6,20
21229,2012-01-06 07:00,9,324,12.3,1025.1,53,5.8,13.7,3,2,1,4.3,93
21229,2012-01-06 08:00,9.1,324,12.8,1025.4,55,5.9,13.7,3.4,1.9,1,4.9,359
21229,2012-01-06 09:00,8.5,315,12.6,1025.6,54,5.6,13.7,3.2,2,1,4.9,119
21229,2012-01-06 10:00,7.6,306,10.8,1026.4,52,5.6,13.7,3.3,1.9,1,3.8,303
21229,2012-01-06 11:00,5.3,279,9,1026.5,53,5.6,13.7,2.8,1.9,.9,4,17
21229,2012-01-06 12:00,2,233,4.9,1025.1,63,5,13.6,2.7,1.6,.8,4.9,187
21229,2012-01-06 13:00,7.7,44,9.8,1025,84,4.3,13.6,2.9,1.9,.9,5.8,81
21229,2012-01-06 14:00,8.5,28,10.8,1025.1,74,4.8,13.5,3.9,2.1,1.1,3.6,349
21229,2012-01-06 15:00,9.7,29,12.4,1025.7,77,4.5,13.2,3.8,2.5,1.3,4,44
21229,2012-01-06 16:00,9,32,11.9,1026.3,68,4.4,13.3,3.8,2.5,1.2,4.3,25
21229,2012-01-06 17:00,10.1,17,13.3,1027.3,72,4.1,13.3,3.8,2.4,1.2,4.9,210
21229,2012-01-06 18:00,9.2,26,11.8,1028.3,70,4.1,13.3,4,2.4,1.2,5.8,243
21229,2012-01-06 19:00,9,31,11.7,1028.9,61,4.1,13.5,3.6,2.5,1.2,5.8,357
21229,2012-01-06 20:00,8.9,19,11.8,1029.5,58,4.3,13.5,3.6,2.3,1.1,4,345
21229,2012-01-06 21:00,10.1,27,13.5,1029.6,58,4.3,13.6,4.4,2.9,1.4,4.9,50
21229,2012-01-06 22:00,10.2,28,13.4,1029.7,58,4.3,13.6,4.5,2.7,1.3,4.6,48
21229,2012-01-06 23:00,9.1,14,12.2,1030.5,55,4.5,13.6,4.3,2.7,1.4,4.9,42
21229,2012-01-07 00:00,9.7,15,13.3,1030.4,54,4.5,13.5,3.9,2.5,1.3,4,352
21229,2012-01-07 01:00,9,16,12.3,1030.7,48,4.5,13.6,3.6,2.2,1.1,4.9,31
21229,2012-01-07 02:00,9.3,23,12.1,1030.9,48,4.5,13.5,3.7,2.4,1.2,8,17
21229,2012-01-07 03:00,9.3,24,13.5,1031.1,50,4.5,12.7,3.6,1.8,.9,4,342
21229,2012-01-07 04:00,8.3,16,11.9,1031.7,45,4.6,12.8,3.1,2,1,3.8,356
21229,2012-01-07 05:00,8.1,34,11.4,1031.5,56,4.5,13,2.8,1.8,.9,4.3,9
21229,2012-01-07 06:00,7.4,14,10.3,1032,51,4.6,13,2.7,1.8,.9,4,223
21229,2012-01-07 07:00,8,40,10.7,1032.4,57,4.1,13.1,3.1,1.8,.9,5.3,184
21229,2012-01-07 08:00,6.5,21,10.3,1033,56,3.8,13.1,3.1,1.9,1,4,348
21229,2012-01-07 09:00,7.1,43,10.8,1033.8,55,4,13.1,2.8,1.9,1,4.9,43
21229,2012-01-07 10:00,7.2,38,10.5,1034.5,55,3.9,13.1,3.1,1.8,.9,5.3,172
21229,2012-01-07 11:00,6.3,35,9.9,1034.5,54,4.2,13.2,2.8,1.8,.9,4.9,345
21229,2012-01-07 12:00,5.8,22,9.6,1033.9,53,4.3,13.3,3.3,1.8,.9,4.9,14
