지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22189,2020-01-01 00:00,7.6,317,10.9,,47,3.8,17.5,4.4,3,2.1,10.7,36
22189,2020-01-01 01:00,9.3,330,12.2,1028.8,43,4.3,17.5,4.2,2.8,2,10.7,49
22189,2020-01-01 02:00,10.8,312,14.6,1028.9,45,4.5,17.5,5.2,2.5,1.8,10.7,63
22189,2020-01-01 03:00,12.6,315,15.3,1028.5,44,4.3,17.4,3.9,2.2,1.5,9.1,48
22189,2020-01-01 04:00,11.4,317,14.4,1028.3,53,3.4,17.3,3.5,2.1,1.5,9.1,56
22189,2020-01-01 05:00,9.9,305,13.5,1028.9,60,3,16.8,4,2.1,1.5,8,38
22189,2020-01-01 06:00,9.2,306,13.6,1029.3,63,3.5,16.6,3.6,2.1,1.5,9.1,53
22189,2020-01-01 07:00,9.8,304,13.1,1029.6,63,3.9,16.6,3.4,2,1.4,8,48
22189,2020-01-01 08:00,10.8,315,14,1029.8,63,4.3,16.6,3.4,2.2,1.6,9.1,34
22189,2020-01-01 09:00,9.4,317,12.4,1029.8,64,4.6,16.6,3.6,2.2,1.6,9.1,45
22189,2020-01-01 10:00,11.7,309,15.8,1030.4,64,4.9,16.6,3,1.9,1.3,8,46
22189,2020-01-01 11:00,8.8,317,12.1,1030.9,63,5,16.6,3.3,2,1.4,8,38
22189,2020-01-01 12:00,7.1,307,9.9,1030.1,61,5.2,17,3.2,2,1.5,8,53
22189,2020-01-01 13:00,7,305,9.5,1028.9,59,6,17.1,2.8,1.9,1.4,7.1,54
22189,2020-01-01 14:00,5.2,284,7.3,1028.4,57,6.4,17.1,2.7,1.7,1.2,7.1,28
22189,2020-01-01 15:00,3,266,5.4,1028.6,55,6.9,17.1,2.4,1.4,1,7.1,32
22189,2020-01-01 16:00,2.2,252,4.3,1028.8,56,7.2,17.2,2.2,1.4,1,8,35
22189,2020-01-01 17:00,2,266,3.3,1028.9,50,7.7,17.3,2.2,1.3,.9,8,35
22189,2020-01-01 18:00,2.3,248,4.6,1029,53,7.6,17.3,2.1,1.5,1,8,34
22189,2020-01-01 19:00,3.8,268,7,1029.3,52,8.2,17.3,2.3,1.2,.8,7.1,38
22189,2020-01-01 20:00,6.4,295,8.6,1028.7,53,8.2,17.3,2.3,1.4,1,8,40
22189,2020-01-01 21:00,8.3,298,11.5,1028.8,56,7.4,17,2.3,1.3,.9,7.1,40
22189,2020-01-01 22:00,4,334,6.9,1028.5,54,7.6,17.1,2.3,1.4,1,8,47
22189,2020-01-01 23:00,5.2,281,7,1028.5,61,7.3,17.2,2.1,1.3,.9,7.1,57
22189,2020-01-02 00:00,5,286,7.7,1028.5,60,7.3,17.4,2.1,1.2,.9,7.1,48
22189,2020-01-02 01:00,7.6,295,9.7,1027.7,60,6.9,17.3,2.1,1.2,.9,7.1,39
22189,2020-01-02 02:00,6.6,290,10.6,1027.7,63,7.6,17.3,2.1,1.3,.9,6.4,51
22189,2020-01-02 03:00,5.5,303,7.6,1027.4,57,7.1,17.4,1.9,1.2,.8,6.4,43
22189,2020-01-02 04:00,4.4,312,6.5,1027.1,55,7,17.4,2,1.2,.8,6.4,56
22189,2020-01-02 05:00,3.8,316,5.8,1027,57,7.6,17.4,1.8,1.2,.9,6.4,47
22189,2020-01-02 06:00,3.9,317,6.6,1027.2,55,7.7,17.4,1.8,1.2,.9,7.1,52
22189,2020-01-02 07:00,4.5,331,6.4,1027.6,60,8,17.4,1.9,1.2,.8,6.4,49
22189,2020-01-02 08:00,4.2,326,6.8,1028.1,58,7.6,17.4,2.3,1.3,.9,5.8,45
22189,2020-01-02 09:00,8.2,329,10.6,1028.4,65,7.4,17.4,2,1.2,.9,5.3,22
22189,2020-01-02 10:00,7.6,322,10.6,1028.8,65,7.2,17.4,2.2,1.5,1,5.8,40
22189,2020-01-02 11:00,5.9,324,8.4,1028.8,61,7.1,17.4,2.2,1.3,.9,5.8,28
22189,2020-01-02 12:00,4.4,300,6.6,1028.3,57,7.2,17.3,1.7,1.1,.8,6.4,44
22189,2020-01-02 13:00,4.2,306,8.2,1027.1,54,7.8,17.4,1.8,1.2,.8,5.8,51
22189,2020-01-02 14:00,2.9,299,4.9,1025.9,52,8.3,17.4,1.4,1.1,.8,5.3,28
22189,2020-01-02 15:00,2.6,292,5,1025.6,52,9,17.3,1.5,1,.7,5.3,28
22189,2020-01-02 16:00,3.3,270,5,1025.7,49,9.5,17.3,1.8,.9,.7,6.4,26
22189,2020-01-02 17:00,2.8,266,4.2,1026,49,9.8,17.3,1.8,1,.7,5.8,25
22189,2020-01-02 18:00,2.5,265,4.1,1026.2,54,9.8,17.1,1.6,1,.7,4.9,25
22189,2020-01-02 19:00,2.8,311,5.8,1026.2,54,10.5,16.9,1.7,.9,.6,6.4,32
22189,2020-01-02 20:00,7.6,335,9.8,1026,63,9.6,16.9,1.9,1.1,.8,4.9,37
22189,2020-01-02 21:00,8,316,10.7,1026.2,64,9.5,16.9,2.3,1.5,1,4.3,2
22189,2020-01-02 22:00,7,323,9.8,1026.3,62,9,16.6,2.5,1.7,1.2,5.3,15
22189,2020-01-02 23:00,7.1,305,10,1025.8,62,8.9,16.6,2,1.3,.9,4.6,336
22189,2020-01-03 00:00,5.7,300,8,1025.9,60,8.3,16.6,2,1.1,.8,5.3,20
22189,2020-01-03 01:00,4.8,307,7,1025.3,55,8.5,16.5,2.1,1.2,.9,5.8,40
22189,2020-01-03 02:00,5.3,293,7.4,1024.9,55,8.5,16.2,2.1,1.2,.8,5.3,32
22189,2020-01-03 03:00,8.1,303,10.8,1024.6,57,8.3,15.8,2,1.4,1,5.3,21
22189,2020-01-03 04:00,9.2,295,11.2,1024.1,58,8.2,15.8,2.1,1.4,1,5.8,12
22189,2020-01-03 05:00,8,303,10.2,1024.4,57,8.1,15.8,2,1.3,.9,5.8,24
22189,2020-01-03 06:00,5.9,306,8.8,1024.2,56,7.9,15.8,1.9,1.2,.9,5.8,9
22189,2020-01-03 07:00,4.4,314,6.8,,58,8.3,15.8,1.8,1.3,.9,5.8,4
22189,2020-01-03 08:00,4.5,286,7.2,1024.3,57,8.8,15.8,2.5,1.3,.9,5.8,27
22189,2020-01-03 09:00,8.6,288,11.3,1024.1,56,8.6,15.8,2.2,1.4,1,6.4,22
22189,2020-01-03 10:00,7.7,295,9.9,1024.8,53,8.8,15.7,2.3,1.4,1,5.3,33
22189,2020-01-03 11:00,9.3,293,11.8,,47,9.5,15.7,2.3,1.4,1,5.8,349
22189,2020-01-03 12:00,8.4,291,10.3,1023.8,45,9.9,15.7,2,1.4,1,6.4,29
22189,2020-01-03 13:00,6.5,312,8.3,1023.1,41,10.1,15.7,1.9,1.3,.9,5.3,14
22189,2020-01-03 14:00,2.7,320,4.7,1022.7,42,10.2,15.7,1.8,1.2,.9,6.4,27
22189,2020-01-03 15:00,5.4,310,8.8,1022.6,41,10.8,15.7,2.3,1.1,.8,5.3,18
22189,2020-01-03 16:00,6.3,334,9,1022.2,40,11.2,16.5,1.6,1.1,.8,6.4,16
22189,2020-01-03 17:00,9.1,331,11.2,1022.5,38,11.5,16.9,1.9,1.1,.8,5.8,30
22189,2020-01-03 18:00,8.6,319,11.5,1023.1,40,11.5,17.1,1.7,1.2,.8,6.4,42
22189,2020-01-03 19:00,9.2,317,11.6,1023.1,44,11.8,17.2,1.7,1.2,.8,7.1,43
22189,2020-01-03 20:00,10.1,321,12.9,1023.4,43,11.2,17.2,2.5,1.4,1,7.1,42
22189,2020-01-03 21:00,8.3,322,10.8,1023.8,45,10.5,17.2,2.4,1.4,1,7.1,42
22189,2020-01-03 22:00,8,318,11.1,1023.4,48,10.3,17.2,2,1.3,.9,5.8,39
22189,2020-01-03 23:00,6.8,322,9.4,1023.5,44,10,17.2,2.2,1.4,1,7.1,33
22189,2020-01-04 00:00,8,320,11.1,,46,10,17.3,2.2,1.4,1,6.4,18
22189,2020-01-04 01:00,7.5,330,10.6,1022.5,44,10.1,17.3,1.9,1.2,.9,6.4,41
22189,2020-01-04 02:00,5.5,311,8,1022.2,48,9.6,17.3,2,1.2,.9,6.4,36
22189,2020-01-04 03:00,5.3,316,8.1,1022.3,44,10,17.3,2.1,1.4,1,3.8,333
22189,2020-01-04 04:00,7.8,318,10.2,1006,48,9.4,17.3,2.1,1.4,1,4.3,333
22189,2020-01-04 05:00,9.9,319,12.6,1021.9,48,9.1,17.3,2.3,1.4,1,4.3,311
22189,2020-01-04 06:00,9.3,315,11.9,,47,9.2,17.3,2.3,1.4,1,4,316
22189,2020-01-04 07:00,8.9,307,11.7,1021.8,47,9.4,17.3,2.3,1.5,1,5.3,352
22189,2020-01-04 08:00,10.5,313,13.1,1021.6,44,9.5,17.3,2.7,1.5,1.1,5.3,358
22189,2020-01-04 09:00,10.3,310,13.1,1021.7,44,9.3,17.3,2.3,1.4,1,5.8,51
22189,2020-01-04 10:00,10.5,304,13.7,1022.5,45,8.9,17.3,2,1.3,.9,3.6,342
22189,2020-01-04 11:00,8.1,314,10.7,1022.7,45,8.8,17.3,1.9,1.2,.8,6.4,14
22189,2020-01-04 12:00,7,286,9.6,1022,46,8.8,17.3,2.2,1.3,.9,4.9,331
22189,2020-01-04 13:00,12.8,314,16.4,1021.1,54,8.9,17.3,2,1.3,1,5.8,32
22189,2020-01-04 14:00,9.7,311,13,1021.2,53,9.1,17.3,2.5,1.3,1,5.3,33
22189,2020-01-04 15:00,11.6,311,14.8,1020.9,52,10.2,17.3,2.8,1.9,1.3,5.3,333
22189,2020-01-04 16:00,12.9,319,16.2,1021.1,49,11.1,17.3,2.9,1.8,1.3,5.8,27
22189,2020-01-04 17:00,12.4,318,16.5,1021.8,48,10.8,17.3,2.7,1.8,1.3,4.6,322
22189,2020-01-04 18:00,10.8,328,14.3,1022.5,47,11.1,17.3,2.3,1.4,1,5.8,34
22189,2020-01-04 19:00,9.8,325,13.4,1023.6,45,10.8,17.3,2.2,1.4,1,7.1,49
22189,2020-01-04 20:00,9.7,329,13.7,1024.1,46,10.4,17.3,2.1,1.4,1,6.4,42
22189,2020-01-04 21:00,9.3,331,13.7,1024.9,47,10.4,17.2,2.3,1.6,1.1,6.4,49
22189,2020-01-04 22:00,8.2,339,11.4,1025.4,46,10,17.2,2.5,1.4,1,5.8,35
22189,2020-01-04 23:00,7.9,340,11.8,1025.7,49,9.7,17.2,2.4,1.4,1,7.1,36
22189,2020-01-05 00:00,7.3,353,10.1,1025.8,49,9.6,17.2,2.2,1.3,1,5.8,54
22189,2020-01-05 01:00,6.9,351,9.8,1026,51,9.8,17.2,2.4,1.5,1.1,6.4,24
22189,2020-01-05 02:00,6,358,8.6,1025.9,51,10.1,17.2,2.5,1.4,1,6.4,36
22189,2020-01-05 03:00,5.6,2,8.4,1026.3,51,10.1,17.2,2.6,1.6,1.1,6.4,38
22189,2020-01-05 04:00,6.3,343,9.2,1026.7,55,10.1,17.2,2.9,1.6,1.1,6.4,46
22189,2020-01-05 05:00,6.6,357,10.2,1026.6,57,10,17.2,2.3,1.5,1,8,33
22189,2020-01-05 06:00,4.9,53,7.4,1027.3,72,9.4,17.2,2.3,1.6,1.1,7.1,35
22189,2020-01-05 07:00,5.5,65,7.9,1028.2,71,10,17.2,2.4,1.6,1.1,7.1,43
22189,2020-01-05 08:00,4.5,48,6.3,1028.8,62,10.2,17.2,2.1,1.3,.9,6.4,35
22189,2020-01-05 09:00,3.7,41,6.2,1029.2,64,10.2,17.2,2.1,1.4,1,6.4,36
22189,2020-01-05 10:00,3.3,68,4.8,1030.2,63,10.7,17.2,2,1.3,.9,6.4,42
22189,2020-01-05 11:00,3.1,64,5.1,1030.6,58,10.3,17.2,2.3,1.3,.9,7.1,55
22189,2020-01-05 12:00,2.5,54,5.1,1030.1,59,10.6,17.2,2.1,1.3,.9,7.1,49
