지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22190,2021-01-01 00:00,11,274,13.9,1021.5,,,15.4,3.9,2.2,1.6,7.1,7
22190,2021-01-01 01:00,11.7,286,16.3,1022.1,,,15.3,4.5,2.5,1.8,8,31
22190,2021-01-01 02:00,13,279,16.5,1022.2,,,15.2,3.8,2.6,1.9,7.1,3
22190,2021-01-01 03:00,12,289,15.8,1023.1,,,15.3,4.3,2.6,1.8,7.1,1
22190,2021-01-01 04:00,10.2,288,13.5,1023.6,,,15.2,4.1,2.6,1.9,7.1,356
22190,2021-01-01 05:00,9.5,290,12.6,1023.5,,,15.2,4.5,2.5,1.8,8,12
22190,2021-01-01 06:00,8.3,289,11,1023.9,,,15.2,4.3,2.6,1.8,8,19
22190,2021-01-01 07:00,8.3,293,11.7,1024.1,,,15.2,3.8,2.4,1.7,7.1,350
22190,2021-01-01 08:00,7.3,288,9.3,1024.4,,,15.2,3.6,2.6,1.8,8,11
22190,2021-01-01 09:00,6.2,295,10.2,1024.6,,,15.2,3.9,2.1,1.5,8,357
22190,2021-01-01 10:00,6.1,270,9.7,1025.3,,,15.2,3.7,2.2,1.5,8,0
22190,2021-01-01 11:00,3.8,247,6.7,1025.1,,,15.3,3.5,1.7,1.2,6.4,348
22190,2021-01-01 12:00,3.8,253,6.5,1024.2,,,15.1,3.2,2,1.4,8,359
22190,2021-01-01 13:00,3.3,238,6.6,1022.9,,,14.5,2.9,1.8,1.2,6.4,1
22190,2021-01-01 14:00,2.7,223,5.1,1022.4,,,14.5,2.7,1.8,1.3,7.1,5
22190,2021-01-01 15:00,6.4,201,9.8,1021.6,,,14.5,2.8,1.6,1.2,7.1,11
22190,2021-01-01 16:00,6.4,275,10.3,1021.3,,,14.9,3.2,1.7,1.2,7.1,22
22190,2021-01-01 17:00,5.8,283,9.8,1021.5,,,14.9,2.8,1.7,1.2,6.4,4
22190,2021-01-01 18:00,8.9,269,12,1021.7,,,14.7,3.1,1.9,1.3,6.4,16
22190,2021-01-01 19:00,10,271,13.1,1022.2,,,14.3,3.2,1.8,1.2,8,45
22190,2021-01-01 20:00,8.8,274,12.1,1022.6,,,14.1,2.9,1.8,1.3,7.1,30
22190,2021-01-01 21:00,9.7,284,14.3,1022.7,,,13.8,2.6,1.6,1.2,7.1,19
22190,2021-01-01 22:00,8.6,282,11.6,1022.9,,,13.8,2.4,1.6,1.1,7.1,26
22190,2021-01-01 23:00,6.9,283,10.4,1023.1,,,14.1,3,1.8,1.3,7.1,15
22190,2021-01-02 00:00,10,280,13.4,1023.1,,,14.3,2.8,1.7,1.2,6.4,8
22190,2021-01-02 01:00,6.9,286,9.2,1023.3,,,14.6,2.6,1.5,1.1,8,46
22190,2021-01-02 02:00,5.6,279,9.1,1022.9,,,14.6,2.4,1.7,1.2,8,51
22190,2021-01-02 03:00,7.5,295,10.9,1023.1,,,14.5,3,1.9,1.3,8,53
22190,2021-01-02 04:00,8.3,290,12.3,1023.1,,,14.6,2.8,1.8,1.3,8,48
22190,2021-01-02 05:00,6.2,295,9.7,1023.3,,,14.6,2.8,1.7,1.2,6.4,3
22190,2021-01-02 06:00,6.9,303,10.4,1023.4,,,14.7,2.7,1.6,1.1,6.4,7
22190,2021-01-02 07:00,6.8,305,9.5,1023.7,,,14.7,2.8,1.7,1.2,6.4,12
22190,2021-01-02 08:00,6.5,310,11.2,1024,,,14.8,3.2,1.8,1.3,7.1,12
22190,2021-01-02 09:00,6.3,292,10.2,1024.5,,,15,3.4,1.8,1.3,7.1,6
22190,2021-01-02 10:00,6.1,293,9.9,1025.1,,,15.1,3.4,2.1,1.5,7.1,2
22190,2021-01-02 11:00,6.2,298,10,1025.4,,,15.2,4,2.1,1.5,7.1,353
22190,2021-01-02 12:00,5.5,322,8.5,1024.9,,,15.3,3.2,1.9,1.3,8,6
22190,2021-01-02 13:00,5.2,344,8.5,1024.5,,,15.4,3,2.1,1.5,7.1,3
22190,2021-01-02 14:00,5.1,347,8.4,1024.2,,,15.4,3.2,1.9,1.4,8,5
22190,2021-01-02 15:00,4.2,341,7.2,1024.4,,,15.4,2.9,2.1,1.5,8,18
22190,2021-01-02 16:00,4.7,331,7.8,1024.8,,,15.4,2.6,1.8,1.2,7.1,10
22190,2021-01-02 17:00,4.8,326,8.9,1025.1,,,15.4,3.3,1.9,1.4,7.1,16
22190,2021-01-02 18:00,5,315,8.2,1025.5,,,15.3,3.1,2.1,1.5,7.1,8
22190,2021-01-02 19:00,4.6,335,6.9,1025.9,,,15.3,3.1,1.9,1.3,7.1,342
22190,2021-01-02 20:00,6.8,284,9.8,1026.3,,,15.2,3.3,2.1,1.5,8,26
22190,2021-01-02 21:00,8.2,288,11.1,1026.4,,,15.1,3.4,2.4,1.7,8,26
22190,2021-01-02 22:00,8.5,287,11.7,1026.7,,,15.2,3.5,2.4,1.7,7.1,10
22190,2021-01-02 23:00,6.8,305,10.7,1026.7,,,15.1,4.1,2.2,1.6,8,20
22190,2021-01-03 00:00,6.8,298,9.9,1026.4,,,14.6,2.9,1.9,1.3,8,36
22190,2021-01-03 01:00,6.7,278,9.1,1026.3,,,13.7,3.4,2,1.4,8,27
22190,2021-01-03 02:00,7.5,284,10.2,1026.9,,,13.7,3,2.1,1.5,8,34
22190,2021-01-03 03:00,7.8,286,10.8,1027.4,,,13.8,3.6,2,1.4,8,17
22190,2021-01-03 04:00,6.7,283,9.9,1028.1,,,14,3.7,2,1.5,8,51
22190,2021-01-03 05:00,5.9,277,9.9,1028.3,,,14.4,3.4,2,1.4,8,23
22190,2021-01-03 06:00,7.6,268,11,1028.3,,,14.5,3.1,2.1,1.5,8,35
22190,2021-01-03 07:00,7.4,276,10.1,1028.9,,,14.7,3.1,1.8,1.3,8,29
22190,2021-01-03 08:00,7.3,288,9.7,1029.8,,,15,3.5,2,1.4,7.1,14
22190,2021-01-03 09:00,8.6,277,12.3,1030.1,,,14.9,2.9,2,1.4,8,22
22190,2021-01-03 10:00,9.1,281,12.6,1030.5,,,14.9,3.6,2.2,1.6,7.1,27
22190,2021-01-03 11:00,6.9,292,9.7,1030.8,,,15.2,3.3,2,1.4,7.1,22
22190,2021-01-03 12:00,7.8,296,11.5,1030,,,15.3,3.1,2,1.4,7.1,18
22190,2021-01-03 13:00,7.5,329,10.9,1029.3,,,15.3,2.9,1.9,1.4,7.1,16
22190,2021-01-03 14:00,7.1,306,9.8,1029.2,,,15.3,3,1.8,1.2,6.4,26
22190,2021-01-03 15:00,3.2,256,6.3,1029.3,,,15.2,2.6,1.6,1.1,7.1,20
22190,2021-01-03 16:00,3.3,274,6.1,1029.3,,,15.3,2.2,1.5,1.1,7.1,21
22190,2021-01-03 17:00,5.2,314,8,1029.6,,,15.3,2.4,1.6,1.1,7.1,11
22190,2021-01-03 18:00,4.7,294,7.2,1029.2,,,15.3,2,1.3,.9,6.4,19
22190,2021-01-03 19:00,4.3,257,7,1029.6,,,15.3,2.2,1.4,1,6.4,350
