지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2019-01-01 00:00,4.6,249,8.4,1029.1,44,8,13.3,,,,,
21229,2019-01-01 01:00,4.8,317,7.2,1028.6,46,7.5,13.3,,,,,
21229,2019-01-01 02:00,6.1,317,8.3,1028.2,46,7.7,13.3,,,,,
21229,2019-01-01 03:00,5.9,322,8.9,1028.5,50,7.3,13.3,,,,,
21229,2019-01-01 04:00,6.8,315,9.2,,49,7.2,13.3,,,,,
21229,2019-01-01 05:00,6.4,318,9,1027.2,46,6.6,13.3,,,,,
21229,2019-01-01 06:00,5.9,311,8.8,1026.9,48,6.2,13.2,,,,,
21229,2019-01-01 07:00,6.4,316,9.5,1027.5,48,6.2,13.1,,,,,
21229,2019-01-01 08:00,5.1,315,8.2,1027.6,47,5.8,13,,,,,
21229,2019-01-01 09:00,4.7,325,7.4,1027.6,49,6.1,13.1,,,,,
21229,2019-01-01 10:00,5,334,8.6,1027,50,6.3,13.1,,,,,
21229,2019-01-01 11:00,6.3,323,9.5,1027.1,55,6,13.1,,,,,
21229,2019-01-01 12:00,5,344,7.4,1026,52,5.6,13.5,,,,,
21229,2019-01-01 13:00,4,327,8,1025.3,54,5.6,13.8,,,,,
21229,2019-01-01 14:00,5.3,310,9.1,1024.3,51,5.9,14,,,,,
21229,2019-01-01 15:00,6.8,313,9.9,1023.9,55,6.1,14,,,,,
21229,2019-01-01 16:00,7.2,315,10.2,1025.4,52,6,14.1,,,,,
21229,2019-01-01 17:00,7.1,305,11.3,1024.5,49,6.1,14,,,,,
21229,2019-01-01 18:00,5.3,287,7.7,1024.7,46,5.4,14.1,,,,,
21229,2019-01-01 19:00,1.7,39,4.5,1025,66,3.7,14.1,,,,,
21229,2019-01-01 20:00,8.5,311,14,,50,5.3,14,,,,,
21229,2019-01-01 21:00,7.9,313,11,1025,47,5.5,13.7,,,,,
21229,2019-01-01 22:00,8.4,322,11.4,1025.3,48,5.1,13.6,,,,,
21229,2019-01-01 23:00,8.7,329,11.3,1025.2,51,5.3,13.6,,,,,
21229,2019-01-02 00:00,9.1,325,12.6,1025.5,52,5.6,13.5,,,,,
21229,2019-01-02 01:00,6.8,327,10.1,1026.1,44,5,13.4,,,,,
21229,2019-01-02 02:00,6.3,324,9.1,1026.3,43,5.5,13.4,,,,,
21229,2019-01-02 03:00,7.7,311,10.2,1026.8,48,5.3,13.3,,,,,
21229,2019-01-02 04:00,8.7,318,11.5,1026.7,55,5.3,13.7,,,,,
21229,2019-01-02 05:00,8.4,322,12.5,1029.2,58,5.5,13.8,,,,,
21229,2019-01-02 06:00,6.6,315,11.2,1029.9,55,4.8,13.8,,,,,
21229,2019-01-02 07:00,5.3,301,8.6,1027.7,54,5.3,13.6,,,,,
21229,2019-01-02 08:00,6.3,296,9.1,1028.2,55,4.8,13.5,,,,,
21229,2019-01-02 09:00,6.1,298,11.5,1036.3,50,5.4,13.7,,,,,
21229,2019-01-02 10:00,5.3,280,7.2,1029,53,5.5,13.5,,,,,
21229,2019-01-02 11:00,6.1,325,8.6,1028.9,58,5.4,13.4,,,,,
21229,2019-01-02 12:00,6.5,306,9.9,1027.9,52,5.3,13.1,,,,,
21229,2019-01-02 13:00,7.2,305,10.7,1027,53,5,13.2,,,,,
21229,2019-01-02 14:00,7,320,9.9,1027.4,56,5.2,13.3,,,,,
21229,2019-01-02 15:00,6.7,316,9.4,1026.5,53,5.2,13.2,,,,,
21229,2019-01-02 16:00,6.9,320,10.2,1026.8,54,5.2,13.2,,,,,
21229,2019-01-02 17:00,6.4,320,9,1027,53,5.1,13.2,,,,,
21229,2019-01-02 18:00,7.1,308,10.4,1034.9,53,4.7,13.4,,,,,
21229,2019-01-02 19:00,6.7,324,11,1027.6,54,4.9,13.2,,,,,
21229,2019-01-02 20:00,7,315,9.5,1027.7,51,5.2,13.2,,,,,
21229,2019-01-02 21:00,6.1,305,9.1,1027.8,53,5.5,13.2,,,,,
21229,2019-01-02 22:00,6.6,323,8.7,,50,5.4,13.2,,,,,
21229,2019-01-02 23:00,7.3,308,10.3,,51,5.7,13.3,,,,,
21229,2019-01-03 00:00,6.5,295,9.5,1028,46,5.3,13.2,,,,,
21229,2019-01-03 01:00,5.7,297,8,1028,46,5.7,13.1,,,,,
21229,2019-01-03 02:00,4.9,316,8.2,1028.3,44,5.3,13,,,,,
21229,2019-01-03 03:00,3.9,338,7.2,1028.5,42,5.3,13,,,,,
21229,2019-01-03 04:00,4.6,326,6.8,1028,45,6,13.1,,,,,
21229,2019-01-03 05:00,6.8,325,9.4,1027.8,44,5.8,13.1,,,,,
21229,2019-01-03 06:00,5.9,323,8.3,1028.1,46,6.3,13.1,,,,,
21229,2019-01-03 07:00,7,326,9,1028.4,50,5.8,13.1,,,,,
21229,2019-01-03 08:00,6.7,313,9.3,1029,47,5.9,13.1,,,,,
21229,2019-01-03 09:00,8.2,317,11.3,1029.7,55,6.4,13.2,,,,,
21229,2019-01-03 10:00,6.8,313,9.8,1030.6,48,6,13.2,,,,,
21229,2019-01-03 11:00,6.3,305,8.6,1030.7,53,6.3,13.3,,,,,
21229,2019-01-03 12:00,6.7,315,9.4,1030.3,54,6.2,13.3,,,,,
21229,2019-01-03 13:00,6.8,309,10.4,1029.5,51,6.3,13.3,,,,,
21229,2019-01-03 14:00,6.9,308,11.1,1032.1,55,6.2,13.4,,,,,
