지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22189,2015-12-22 00:00,4.2,357,6.4,1027.4,56,11,18,1,.6,.4,2.7,103
22189,2015-12-22 01:00,3,26,5.5,978.7,59,11,18.1,1,.6,.4,3,126
22189,2015-12-22 02:00,1.5,22,3.1,1027.7,58,10.9,18,.9,.6,.4,4.9,32
22189,2015-12-22 03:00,1.6,13,3.7,1028,59,11,17.5,.9,.6,.4,2.4,348
22189,2015-12-22 04:00,2.7,57,4.5,1027.9,63,11.1,16.7,.8,.5,.4,4.6,355
22189,2015-12-22 05:00,3.9,70,6.4,1027.2,63,11.3,16.7,.8,.5,.3,2,179
22189,2015-12-22 06:00,3.2,37,5,1027.4,66,11.5,16.8,.7,.4,.3,4.6,337
22189,2015-12-22 07:00,2.8,32,4.6,1028,64,11.7,18.3,.8,.1,.1,2.1,182
22189,2015-12-22 08:00,1.9,93,4.5,1028.6,64,11.9,18.3,1,.3,.2,3.2,343
22189,2015-12-22 09:00,3.4,56,6.4,1028.7,60,12.2,18.5,.7,.2,.1,2.9,3
22189,2015-12-22 10:00,2.6,121,4.3,1029.4,57,12.7,18.5,.7,.2,.1,2.9,3
22189,2015-12-22 12:00,4.2,56,8,1028.8,69,12.5,18.6,.9,.5,.4,3.8,11
22189,2015-12-22 13:00,4.7,20,7,1027.6,74,12.3,18.7,1.1,.4,.3,3.8,153
22189,2015-12-22 14:00,4,18,7.7,1027,67,12.6,18.6,.8,.5,.3,3.4,179
22189,2015-12-22 15:00,4.4,123,7.3,1026.6,60,12.8,18.3,.8,.5,.3,3.8,202
22189,2015-12-22 16:00,4.9,98,7.6,1026.2,59,12.5,18.2,.9,.6,.4,3.4,261
22189,2015-12-22 17:00,3.8,78,6.5,1026.7,57,12.5,18.1,.9,.6,.4,3.8,212
22189,2015-12-22 18:00,5.9,87,9,1026.2,59,12.7,17.9,.9,.5,.4,3.6,219
22189,2015-12-22 19:00,5.8,80,9.2,1026.4,59,12.6,17.8,.9,.5,.4,3.2,260
22189,2015-12-22 20:00,4.3,62,6.9,1026.9,62,12.8,17.6,.7,.4,.3,3.8,168
22189,2015-12-22 21:00,4.8,104,6.6,1026.2,60,12.9,17.4,.7,.4,.3,2.9,261
22189,2015-12-22 22:00,3.4,127,5.7,1026.7,61,13.2,17.6,.6,.4,.3,5.8,192
22189,2015-12-22 23:00,4.3,124,5.9,1026.2,64,13.3,17.8,.7,.4,.3,5.8,169
22189,2015-12-23 00:00,2.5,89,5.3,1026.1,61,13.4,17.8,.6,.4,.3,5.8,161
22189,2015-12-23 01:00,3.1,102,4.9,1024.7,60,13.6,17.6,.6,.4,.3,5.3,233
22189,2015-12-23 02:00,5.2,97,7.5,1024,65,13.6,17.5,.8,.5,.3,5.3,192
22189,2015-12-23 03:00,3.4,175,6.7,1023.4,63,13.7,17.6,.9,.6,.4,2.9,353
22189,2015-12-23 04:00,4.6,111,7.6,1023.2,68,13.6,17.6,1,.7,.5,3,348
22189,2015-12-23 05:00,4.2,105,6.6,1022.7,76,12.9,17.6,1.1,.6,.5,3.2,25
22189,2015-12-23 06:00,2.9,101,4.8,1022.2,68,13.4,17.6,1.1,.6,.4,3.4,25
22189,2015-12-23 07:00,2.6,86,4.3,1021.8,65,13.2,17.7,1,.6,.4,3.4,268
22189,2015-12-23 08:00,1.9,87,3.7,1022,63,13.5,17.9,1,.5,.4,4.3,258
22189,2015-12-23 09:00,1.9,90,3.4,1022,70,13.1,17.8,.8,.5,.3,4.3,219
22189,2015-12-23 10:00,3.2,83,5.2,1021.8,76,13.1,18,.7,.4,.3,3.6,215
22189,2015-12-23 11:00,4.9,115,6.7,1020.9,79,13.3,18.3,.8,.5,.3,5.3,214
22189,2015-12-23 12:00,3.2,110,5.3,1020.4,74,13.7,18.1,.9,.5,.4,4.6,205
22189,2015-12-23 13:00,2.6,84,4.3,1019.4,75,13.8,18.1,1,.6,.4,4.3,184
22189,2015-12-23 14:00,3.3,47,5.2,1019,76,13.8,18,.9,.5,.4,5.3,171
22189,2015-12-23 15:00,1.2,40,2.8,1018.5,74,13.8,18,1,.6,.4,4.9,183
22189,2015-12-23 16:00,2.8,6,4.6,1018,74,13.9,18,1,.6,.4,5.8,140
22189,2015-12-23 17:00,3.5,27,5.3,1018,74,13.8,18.1,1.1,.6,.5,5.3,116
22189,2015-12-23 18:00,4.5,25,6.7,1018.4,75,14.2,18.2,1.1,.6,.4,4.6,160
22189,2015-12-23 19:00,5,358,7,1018.6,76,14.2,18.2,1.4,.6,.4,4.9,166
22189,2015-12-23 20:00,6,360,8.1,1019,76,14,18.2,1.2,.7,.5,4,181
22189,2015-12-23 21:00,5.8,344,7.8,1019,74,13.8,17.6,1.1,.6,.5,5.8,175
22189,2015-12-23 22:00,6.3,355,8.9,1018.8,77,13.7,18,1.4,.7,.5,5.3,190
22189,2015-12-23 23:00,7.6,350,10.3,1018.7,76,13.4,18.1,1.2,.8,.6,4.6,168
22189,2015-12-24 00:00,8.3,346,11.3,1018.4,78,12.5,18,1.4,.9,.6,3.8,114
22189,2015-12-24 01:00,6.9,353,9.7,1018.5,78,12.3,17.9,2.9,.9,.6,4.6,133
22189,2015-12-24 02:00,6.8,344,9.5,1018.6,77,12.3,17.9,1.7,1.1,.7,4.9,81
22189,2015-12-24 03:00,6.5,6,9,1018.5,75,12.2,17.9,1.8,1.1,.8,4.6,35
22189,2015-12-24 04:00,5.5,43,7.9,1018,76,11.9,17.9,1.6,1,.7,4.3,36
22189,2015-12-24 05:00,5.9,22,9,1017.6,78,12,17.8,1.6,1,.7,4.6,353
22189,2015-12-24 06:00,6,37,8.4,1017.2,76,12,17.8,1.5,.9,.6,5.3,352
