지점,일시,풍속1(m/s),풍향1(deg),GUST풍속 1(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22104,2012-01-01 00:00,9.1,329,11.5,1023.5,52,5.8,15.3,1.7,1.2,.6,9.1,346
22104,2012-01-01 01:00,9.1,318,11.9,1023.4,55,5.8,15.2,1.5,1.1,.5,3.8,250
22104,2012-01-01 02:00,9.4,330,11.6,1022.9,56,5.7,15.2,1.6,1,.5,3.6,238
22104,2012-01-01 03:00,8.4,322,11,,55,5.4,15.3,1.4,1,.5,3.4,248
22104,2012-01-01 04:00,8.9,339,11.2,1022.7,56,5.3,15.4,1.5,1,.5,9.1,317
22104,2012-01-01 05:00,7.4,312,11.1,1022.9,55,5.3,15.4,1.8,1,.5,9.1,3
22104,2012-01-01 06:00,5.7,293,8.8,1023.3,55,5.2,15.4,1.2,.9,.5,9.1,334
22104,2012-01-01 07:00,4.6,322,6.6,1023.9,53,5,15.4,1.3,.9,.5,10.7,331
22104,2012-01-01 08:00,3.8,301,6.7,1023.9,53,5.3,15.4,1.2,.8,.4,8,350
22104,2012-01-01 09:00,4.2,301,5.8,1024.3,53,5.8,15.5,1.1,.8,.4,9.1,4
22104,2012-01-01 10:00,2.2,278,3.8,1023.7,49,6.1,15.5,1.1,.8,.4,9.1,1
22104,2012-01-01 11:00,3.1,245,5.8,,47,6.6,15.5,1.2,.9,.4,9.1,38
22104,2012-01-01 12:00,3.7,276,7,1022.7,48,7.1,15.7,1.2,.8,.4,9.1,30
22104,2012-01-01 13:00,5.5,243,7.8,1021.3,53,7.5,15.8,1.1,.8,.4,10.7,47
22104,2012-01-01 14:00,8.1,238,10.6,1020,56,7.7,15.9,1.1,.9,.4,9.1,40
22104,2012-01-01 15:00,7.9,297,10.8,1019.5,57,8,16,1.4,.9,.5,3.2,222
22104,2012-01-01 16:00,9.4,293,13.1,1019.3,54,8,16,1.7,1.1,.5,4.3,224
22104,2012-01-01 17:00,9.7,262,12.5,1019.1,58,8.1,16,2,1.1,.6,4.3,210
22104,2012-01-01 18:00,10.3,262,12.8,1019,58,8.1,16,1.6,1.2,.6,3.8,205
22104,2012-01-01 19:00,10.2,274,13.1,1019.7,54,7,16,1.9,1.3,.7,4,206
22104,2012-01-01 20:00,10.8,323,15,1020.4,56,6.5,15.9,1.9,1.4,.7,5.3,157
22104,2012-01-01 21:00,9.2,279,13.1,1021.1,48,4.6,15.8,2.7,1.5,.8,4,223
22104,2012-01-01 22:00,10.6,331,15.3,1021.8,50,3.4,15.7,2.2,1.6,.8,4.6,258
22104,2012-01-01 23:00,9.8,300,13.8,1021.8,48,2.7,15.5,1.8,1.3,.6,4.3,248
22104,2012-01-02 00:00,9,329,14.5,1022.5,48,2.5,15.4,1.8,1.1,.5,6.4,51
22104,2012-01-02 01:00,8.1,331,12.3,1022.7,52,2.4,15.4,1.5,1.2,.6,4,266
22104,2012-01-02 02:00,10.9,347,13.9,1022.5,49,2.3,15.2,1.7,1.2,.6,6.4,127
22104,2012-01-02 03:00,9.4,324,12.8,1023.2,56,2.3,15.1,2.3,1.4,.7,4,241
22104,2012-01-02 04:00,11.3,334,13.8,1022.8,55,2.1,15,1.8,1.4,.7,4,238
22104,2012-01-02 05:00,8.7,334,12.3,1023.6,56,2.5,15,1.8,1.2,.6,3.6,247
