지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22184,2018-01-01 00:00,7.6,303,11,1025,46,6.7,15.2,1.6,1.3,.9,6.4,97
22184,2018-01-01 01:00,8.8,319,10.4,1024.7,52,6.5,15.3,2.2,1.4,1,5.8,216
22184,2018-01-01 02:00,9.1,339,12.3,1024.7,56,6.5,15.3,1.8,1.2,.9,5.8,205
22184,2018-01-01 03:00,8.5,312,12.1,1025.2,49,6.4,15.1,1.8,1.1,.8,5.3,213
22184,2018-01-01 04:00,9,347,11.8,1025.4,57,6.6,14.7,2,1.2,.8,5.3,212
22184,2018-01-01 05:00,9,329,12.5,1025.3,48,6,14.2,2.1,1.2,.8,5.3,206
22184,2018-01-01 06:00,7.5,345,11.5,1025.1,51,5.6,13.9,1.8,1.1,.8,5.8,201
22184,2018-01-01 07:00,7.3,345,11,1025.8,49,5.4,13.9,1.8,1.1,.8,4.6,192
22184,2018-01-01 08:00,5.1,4,7.5,1026.5,49,3.8,14,1.5,1,.7,5.8,191
22184,2018-01-01 09:00,6.2,331,10.2,1027.1,49,5.8,14,1.4,.9,.6,5.3,191
22184,2018-01-01 10:00,7.2,38,9.7,1027.7,46,5.9,14.6,1.1,.8,.6,6.4,76
22184,2018-01-01 11:00,4.8,44,7.2,1028.1,48,6.3,15,1.3,.9,.6,4.9,65
22184,2018-01-01 12:00,6,51,8.5,1027.9,53,5.8,15.3,1.4,.8,.6,4.9,58
22184,2018-01-01 13:00,5.8,14,10.7,1027.1,43,6.3,15.2,1.5,.9,.6,4.6,82
22184,2018-01-01 14:00,5.7,39,8.2,1026.6,46,6.1,15.2,1.5,.9,.7,5.8,85
22184,2018-01-01 15:00,6.3,332,9.1,1026.8,50,7.4,15.2,1.4,.9,.6,5.3,206
22184,2018-01-01 16:00,6.1,318,8.4,1027.2,47,6.4,15.2,1.5,.9,.6,4,231
22184,2018-01-01 17:00,6.3,316,8.7,1027,47,6.6,15.2,1.3,.8,.5,4.9,214
22184,2018-01-01 18:00,5.6,345,9.5,1026.4,49,6.8,14.9,1.2,.7,.5,5.3,204
22184,2018-01-01 19:00,6.5,1,9.7,1026.5,51,6.8,14.6,1.2,.7,.5,3.8,170
22184,2018-01-01 20:00,7,347,10,1027.1,46,6.4,14.5,1.2,.7,.5,3.4,212
22184,2018-01-01 21:00,6,13,8.3,1027.8,45,6,14.6,1,.7,.5,3.8,170
22184,2018-01-01 22:00,5.5,345,7.9,1027.9,47,6.1,14.9,1,.6,.4,4.3,172
22184,2018-01-01 23:00,5,0,7.9,1028.3,47,6,15.1,1,.6,.4,3.4,212
22184,2018-01-02 00:00,6.8,7,8.6,1028.3,47,6,15.2,.8,.6,.4,3.6,223
22184,2018-01-02 01:00,5.6,4,8.5,1028.3,46,6,15.1,.9,.6,.4,3.4,207
22184,2018-01-02 02:00,5.6,12,8.1,1028.2,46,6,15.1,1,.6,.4,5.8,153
22184,2018-01-02 03:00,6.2,39,8.8,1027.9,47,6,15.1,.9,.6,.4,3,206
22184,2018-01-02 04:00,6.4,43,8.8,1028.1,48,6,15,.9,.6,.4,2.9,220
22184,2018-01-02 05:00,4.5,37,6.1,1028.3,43,4.2,14.7,.9,.6,.4,3.2,202
22184,2018-01-02 06:00,3.8,42,5.4,1028.1,46,5.9,14.3,1,.5,.4,3.2,208
22184,2018-01-02 07:00,3.7,54,5.2,1028.2,37,5.6,14.1,.7,.5,.3,3.2,204
22184,2018-01-02 08:00,5.1,30,7,1028.2,39,7.1,14.1,.7,.4,.3,4.9,159
22184,2018-01-02 09:00,5.4,40,7,1028.7,42,6.4,14.1,.7,.4,.3,3,137
22184,2018-01-02 10:00,4.3,69,5.9,1029.2,51,6.3,14.4,.7,.4,.3,4.9,142
22184,2018-01-02 11:00,3.3,62,5.2,1029.3,51,7,13.9,.7,.4,.3,3,181
22184,2018-01-02 12:00,4,61,5.4,1028.6,50,6.8,14.8,.6,.4,.3,5.3,167
22184,2018-01-02 13:00,3.7,90,5.4,1027.9,50,7.7,14.7,.7,.4,.3,3.4,213
22184,2018-01-02 14:00,4.6,60,7.5,1027.1,47,7.4,14.8,.6,.4,.3,2.8,142
22184,2018-01-02 15:00,4.3,350,6.1,1026.6,43,7.9,13.6,.6,.4,.3,2.7,258
22184,2018-01-02 16:00,5.4,343,7.8,1027.2,42,8.2,13.8,.7,.4,.3,2.7,243
22184,2018-01-02 17:00,4.3,296,6.2,1026.9,40,8.6,14.5,.6,.4,.3,2.5,301
22184,2018-01-02 18:00,5.5,311,7.6,1027.2,37,8.6,14.9,.5,.4,.3,2,255
22184,2018-01-02 19:00,4.8,318,6.8,1027.4,55,7.9,14.7,.6,.4,.3,2.4,252
22184,2018-01-02 20:00,6.5,330,8.9,1027.2,58,8,14.4,.8,.5,,2.6,241
22184,2018-01-02 21:00,5.3,354,7.6,1026.9,60,7.8,14.3,.8,.5,.3,2.9,203
22184,2018-01-02 22:00,3.7,354,5.2,1026.6,59,7.7,14.4,.8,.4,.3,2.9,248
22184,2018-01-02 23:00,5.6,315,7.8,1026.9,64,7.8,14.6,.8,.5,.3,3,229
22184,2018-01-03 00:00,6.8,356,9.3,1027.5,71,7.5,14.3,.9,.6,.4,3.6,227
22184,2018-01-03 01:00,7.4,337,10,1027.9,69,6.9,14.7,1.2,.6,.4,3.8,224
22184,2018-01-03 02:00,9.7,6,11.4,1027.7,64,4.3,14.7,1.3,.9,.6,3.8,233
22184,2018-01-03 03:00,9.2,3,11.3,1028.6,61,5.4,14.7,1.6,1,.7,3.6,218
22184,2018-01-03 04:00,9.4,341,12.5,1028.7,61,3.5,14.7,1.7,1,.7,4,250
22184,2018-01-03 05:00,9.7,337,12.5,1028.8,62,4.7,14.6,2.2,1.3,.9,4.3,256
22184,2018-01-03 06:00,9.9,323,13.6,1028.9,62,5,14.5,2.3,1.3,.9,4,245
22184,2018-01-03 07:00,9.2,325,12.8,1029.6,61,3,13.5,2,1.3,.9,4.6,221
22184,2018-01-03 08:00,9,354,12.1,1029.8,64,4.2,11.9,2,1.3,.9,4.9,201
22184,2018-01-03 09:00,7.9,342,10.8,1029.8,65,4.1,11.7,1.8,1.3,.9,4,230
22184,2018-01-03 10:00,8.4,354,10.7,1030.8,68,4.3,12.4,1.8,1.1,.8,5.8,186
22184,2018-01-03 11:00,8.3,350,10.9,1030.8,65,4.8,14.3,1.6,1,.7,4.9,213
22184,2018-01-03 12:00,9.2,356,11.9,1030,65,4.8,14.5,1.6,1,.7,4.9,207
22184,2018-01-03 13:00,8.5,1,11.2,1028.7,67,4.9,14.5,1.8,1.1,.8,5.3,194
22184,2018-01-03 14:00,9.5,339,11.8,1028.4,64,4.1,14.3,2.1,1.3,.9,5.3,201
22184,2018-01-03 15:00,10.4,340,14.5,1028,64,5.1,14.4,2.4,1.4,1,5.3,199
22184,2018-01-03 16:00,10.3,353,13.7,1028,65,4.9,14.4,2.6,1.4,1,4.9,185
22184,2018-01-03 17:00,10.5,341,13.6,1028.2,63,4.7,14.5,2.5,1.5,1.1,4.6,224
22184,2018-01-03 18:00,10.6,333,13.9,1027.9,66,4.3,14.5,2.6,1.5,1.1,5.8,206
22184,2018-01-03 19:00,10.7,342,13.2,1028.9,65,3.5,14.6,2.7,1.6,1.1,5.8,221
22184,2018-01-03 20:00,9.1,325,13.3,1029.2,67,3.4,14.6,2.5,1.7,1.2,4.6,131
22184,2018-01-03 21:00,9.3,356,12,1029.1,65,3.1,14.6,2.2,1.6,1.1,4.6,219
22184,2018-01-03 22:00,8.8,316,15.3,1028.9,66,3.5,14.6,2.1,1.4,1,4.6,137
22184,2018-01-03 23:00,8.9,43,10.9,1029.3,66,3.3,14.6,2.2,1.3,.9,6.4,85
22184,2018-01-04 00:00,7.5,43,10,1029.8,67,3.3,14.6,2.1,1.3,1,7.1,83
22184,2018-01-04 01:00,8.2,44,10.5,1028.9,65,1.8,14.5,2.2,1.3,.9,5.3,82
22184,2018-01-04 02:00,9.4,38,11.6,1027.9,63,1.5,14.6,1.9,1.3,.9,8,71
22184,2018-01-04 03:00,9.5,25,12,1028.1,67,3.6,14.7,2.2,1.3,1,4.6,104
22184,2018-01-04 04:00,9.6,347,13.3,1028.1,67,1.7,14.7,2.5,1.4,1,4.3,216
22184,2018-01-04 05:00,9,348,12.9,1028,68,3.5,14.6,2.4,1.4,1,5.3,217
22184,2018-01-04 06:00,8.9,338,10.6,1027.5,64,1.7,14.6,3.2,1.6,1.1,4.6,250
